Año;Códgo SIES;Matrícula Primer Año;Matrícula primer año hombres;Matrícula primer año mujeres;Retención;Vacantes (1);Matrícula Total Cohorte Año Anterior
2016;I70S1C814J1V1;82.0;44.0;38.0;0.829268293;60.0;68.0
2016;I70S1C816J1V1;145.0;83.0;62.0;0.896551724;110.0;130.0
2016;I70S1C184J1V1;372.0;188.0;184.0;0.534946237;300.0;199.0
2016;I70S1C64J1V1;801.0;584.0;217.0;0.938826467;685.0;752.0
2016;I70S1C442J1V1;75.0;44.0;31.0;0.733333333;63.0;55.0
2016;I70S1C77J1V1;37.0;28.0;9.0;0.621621622;27.0;23.0
2016;I70S1C76J1V1;30.0;15.0;15.0;0.866666667;27.0;26.0
2016;I70S1C78J1V1;33.0;27.0;6.0;0.606060606;27.0;20.0
2016;I70S1C79J1V1;24.0;11.0;13.0;0.666666667;27.0;16.0
2016;I70S1C74J1V1;32.0;13.0;19.0;0.6875;45.0;22.0
2016;I70S1C81J1V1;87.0;50.0;37.0;0.689655172;80.0;60.0
2016;I70S1C82J1V1;109.0;66.0;43.0;0.788990826;90.0;86.0
2016;I70S1C83J1V1;113.0;55.0;58.0;0.840707965;100.0;95.0
2016;I70S1C68J1V1;25.0;7.0;18.0;0.76;23.0;19.0
2016;I70S1C70J1V1;18.0;2.0;16.0;0.555555556;23.0;10.0
2016;I70S1C5J1V1;42.0;18.0;24.0;0.80952381;35.0;34.0
2016;I70S1C176J1V1;31.0;14.0;17.0;0.774193548;30.0;24.0
2016;I70S1C69J1V1;101.0;31.0;70.0;0.693069307;80.0;70.0
2016;I70S1C6J1V1;55.0;33.0;22.0;0.709090909;40.0;39.0
2016;I70S1C158J1V1;187.0;96.0;91.0;0.957219251;165.0;179.0
2016;I70S1C162J1V1;119.0;64.0;55.0;0.941176471;100.0;112.0
2016;I70S1C23J1V1;156.0;54.0;102.0;0.75;136.0;117.0
2016;I70S1C41J1V1;103.0;29.0;74.0;0.747572816;87.0;77.0
2016;I70S1C42J1V1;59.0;6.0;53.0;0.847457627;44.0;50.0
2016;I70S1C66J1V1;54.0;32.0;22.0;0.796296296;40.0;43.0
2016;I70S1C159J1V1;60.0;10.0;50.0;0.816666667;45.0;49.0
2016;I70S1C160J1V1;97.0;7.0;90.0;0.87628866;82.0;85.0
2016;I70S1C180J1V1;96.0;39.0;57.0;0.822916667;80.0;79.0
2016;I70S1C1J1V1;115.0;55.0;60.0;0.886956522;100.0;102.0
2016;I70S1C47J1V1;167.0;104.0;63.0;0.814371257;150.0;136.0
2016;I70S1C61J1V1;48.0;15.0;33.0;0.604166667;35.0;29.0
2016;I70S1C177J1V1;159.0;75.0;84.0;0.899371069;140.0;143.0
2016;I70S1C161J1V1;109.0;44.0;65.0;0.853211009;90.0;93.0
2016;I70S1C175J1V1;53.0;30.0;23.0;0.603773585;40.0;32.0
2016;I70S1C3J1V1;245.0;96.0;149.0;0.746938776;216.0;183.0
2016;I70S1C174J1V1;100.0;37.0;63.0;0.93;50.0;93.0
2016;I70S1C73J1V1;19.0;14.0;5.0;0.894736842;18.0;17.0
2016;I70S1C43J1V1;80.0;39.0;41.0;0.7625;58.0;61.0
2016;I70S1C178J1V1;97.0;50.0;47.0;0.907216495;60.0;88.0
2016;I70S1C62J1V1;44.0;19.0;25.0;0.772727273;35.0;34.0
2016;I70S1C181J1V1;59.0;8.0;51.0;0.813559322;42.0;48.0
2016;I70S1C71J1V1;26.0;21.0;5.0;0.807692308;;21.0
2016;I70S1C2J1V1;108.0;44.0;64.0;0.842592593;70.0;91.0
2016;I70S1C67J1V1;27.0;6.0;21.0;0.888888889;;24.0
2016;I70S1C45J1V1;83.0;44.0;39.0;0.819277108;50.0;68.0
2016;I70S1C157J1V1;198.0;57.0;141.0;0.904040404;180.0;179.0
2016;I70S1C63J1V1;70.0;31.0;39.0;0.914285714;60.0;64.0
2016;I70S1C58J1V1;456.0;287.0;169.0;0.899122807;270.0;410.0
2016;I70S1C21J1V1;401.0;194.0;207.0;0.905236908;362.0;363.0
2016;I70S1C84J1V1;84.0;24.0;60.0;0.80952381;78.0;68.0
2016;I70S1C455J1V1;74.0;45.0;29.0;0.77027027;51.0;57.0
2016;I70S1C864J1V1;65.0;10.0;55.0;0.815384615;35.0;53.0
2016;I70S1C861J1V1;38.0;7.0;31.0;0.947368421;30.0;36.0
2016;I70S1C862J1V1;20.0;0.0;20.0;0.65;25.0;13.0
2016;I70S1C863J1V1;37.0;13.0;24.0;0.918918919;35.0;34.0
2016;I70S1C873J1V1;26.0;22.0;4.0;0.653846154;25.0;17.0
2016;I86S5C535J1V1;99.0;35.0;64.0;0.878787879;75.0;87.0
2016;I86S5C569J1V1;45.0;17.0;28.0;0.711111111;40.0;32.0
2016;I86S5C568J1V1;8.0;6.0;2.0;0.875;10.0;7.0
2016;I86S1C342J1V1;78.0;25.0;53.0;0.897435897;60.0;70.0
2016;I86S5C299J1V1;55.0;19.0;36.0;0.781818182;50.0;43.0
2016;I86S5C300J1V1;366.0;146.0;220.0;0.707650273;350.0;259.0
2016;I86S1C281J1V1;33.0;12.0;21.0;0.787878788;30.0;26.0
2016;I86S5C301J1V1;448.0;260.0;188.0;0.642857143;400.0;288.0
2016;I86S5C557J1V1;82.0;10.0;72.0;0.829268293;55.0;68.0
2016;I86S5C74J1V1;45.0;37.0;8.0;0.844444444;40.0;38.0
2016;I86S5C202J1V1;88.0;47.0;41.0;0.909090909;70.0;80.0
2016;I86S5C203J1V1;69.0;25.0;44.0;0.753623188;57.0;52.0
2016;I86S1C29J1V1;329.0;173.0;156.0;0.917933131;275.0;302.0
2016;I86S5C55J1V1;69.0;35.0;34.0;0.956521739;50.0;66.0
2016;I86S5C208J1V1;112.0;11.0;101.0;0.883928571;;99.0
2016;I86S5C131J1V1;758.0;551.0;207.0;0.94591029;650.0;717.0
2016;I86S5C200J1V1;136.0;38.0;98.0;0.911764706;100.0;124.0
2016;I86S1C63J1V1;49.0;25.0;24.0;0.897959184;40.0;44.0
2016;I86S4C4J1V1;149.0;60.0;89.0;0.979865772;63.0;146.0
2016;I86S2C121J1V1;37.0;14.0;23.0;0.837837838;35.0;31.0
2016;I86S3C67J1V1;28.0;7.0;21.0;0.75;;21.0
2016;I86S5C121J1V1;147.0;5.0;142.0;0.945578231;150.0;139.0
2016;I86S5C3J1V1;244.0;130.0;114.0;0.893442623;230.0;218.0
2016;I86S5C259J1V1;48.0;7.0;41.0;0.75;34.0;36.0
2016;I86S5C258J1V1;75.0;24.0;51.0;0.893333333;60.0;67.0
2016;I86S5C62J1V1;41.0;23.0;18.0;0.682926829;28.0;28.0
2016;I86S1C130J1V1;147.0;57.0;90.0;0.931972789;125.0;137.0
2016;I86S5C69J1V1;36.0;29.0;7.0;0.888888889;29.0;32.0
2016;I86S5C205J1V1;64.0;7.0;57.0;0.9375;45.0;60.0
2016;I86S1C66J1V1;70.0;30.0;40.0;0.814285714;60.0;57.0
2016;I86S5C57J1V1;408.0;212.0;196.0;0.941176471;355.0;384.0
2016;I86S5C28J1V1;204.0;154.0;50.0;0.906862745;185.0;185.0
2016;I86S5C64J1V1;50.0;23.0;27.0;0.94;35.0;47.0
2016;I86S5C68J1V1;31.0;16.0;15.0;0.774193548;25.0;24.0
2016;I86S3C1J1V1;44.0;14.0;30.0;0.863636364;40.0;38.0
2016;I86S3C61J1V1;89.0;13.0;76.0;0.921348315;75.0;82.0
2016;I86S5C47J1V1;62.0;0.0;62.0;0.951612903;65.0;59.0
2016;I86S5C70J1V1;72.0;34.0;38.0;0.958333333;60.0;69.0
2016;I86S3C75J1V1;61.0;43.0;18.0;0.770491803;35.0;47.0
2016;I86S5C10J1V1;44.0;41.0;3.0;0.704545455;10.0;31.0
2016;I86S4C31J1V1;193.0;34.0;159.0;0.937823834;90.0;181.0
2016;I86S5C76J1V1;41.0;23.0;18.0;0.756097561;35.0;31.0
2016;I86S5C570J1V1;7.0;4.0;3.0;0.714285714;20.0;5.0
2016;I86S5C567J1V1;12.0;3.0;9.0;1.0;25.0;12.0
2016;I86S5C561J1V1;50.0;15.0;35.0;0.84;40.0;42.0
2016;I86S5C562J1V1;78.0;6.0;72.0;0.91025641;55.0;71.0
2016;I86S2C571J1V1;22.0;0.0;22.0;0.954545455;25.0;21.0
2016;I86S1C117J1V2;83.0;47.0;36.0;0.975903614;73.0;81.0
2016;I87S3C38J1V1;;10.0;58.0;;60.0;
2016;I87S2C38J1V1;;12.0;58.0;;60.0;
2016;I87S1C1J1V1;;39.0;29.0;;55.0;
2016;I87S1C518J1V1;;56.0;17.0;;70.0;
2016;I87S1C37J1V1;;0.0;52.0;;40.0;
2016;I87S1C259J1V1;;16.0;36.0;;50.0;
2016;I87S1C260J1V1;;23.0;17.0;;40.0;
2016;I87S3C109J1V1;;5.0;6.0;;20.0;
