Matr’cula Primer A–o;Matr’cula Total Cohorte A–o Anterior;N¡ ProgramasConsiderados;A–o;C—dgo SIES;Matr’cula primer a–o hombres;Matr’cula primer a–o mujeres;Matr’cula total hombres;Matr’cula total mujeres;Retenci—n
;;0;2016;0;0;53;0;138;
;;0;2016;0;0;25;0;25;
;;0;2016;0;4;8;22;16;
;;0;2016;0;2;1;11;6;
;;0;2016;0;8;7;38;30;
26;25;1;2018;1;10;16;10;16;0,961538462
42;31;1;2019;1;2;40;2;40;0,738095238
26;19;1;2019;1;8;18;18;33;0,730769231
10;2;1;2020;1;3;7;15;35;0,2
48;27;1;2020;1;10;38;12;67;0,5625
28;12;1;2018;1;10;18;10;18;0,428571429
33;15;1;2019;1;10;23;15;31;0,454545455
100;70;1;2019;1;26;74;26;74;0,7
48;30;1;2020;1;18;30;32;86;0,625
17;14;1;2020;1;7;10;15;25;0,823529412
27;16;1;2019;2;10;17;50;63;0,592592593
37;25;1;2020;2;18;19;50;65;0,675675676
68;56;1;2019;2;38;30;168;137;0,823529412
50;37;1;2020;2;25;25;152;127;0,74
11;7;1;2018;2;8;3;8;3;0,636363636
33;21;1;2019;2;19;14;23;17;0,636363636
40;28;1;2019;2;16;24;16;24;0,7
19;14;1;2020;2;10;9;47;;0,736842105
39;25;1;2020;2;12;27;23;44;0,641025641
38;22;1;2019;2;24;14;24;14;0,578947368
41;25;1;2020;2;17;24;28;35;0,609756098
7;6;1;2019;2;3;4;7;6;0,857142857
9;9;1;2020;2;5;4;7;8;1
13;13;1;2018;3;13;0;13;0;1
29;13;1;2019;3;23;6;23;6;0,448275862
26;15;1;2019;3;25;1;38;1;0,576923077
15;4;1;2020;3;12;3;39;3;0,266666667
24;13;1;2020;3;22;2;32;5;0,541666667
28;17;1;2018;3;26;2;26;2;0,607142857
66;25;1;2019;3;56;10;56;10;0,378787879
35;22;1;2019;3;33;2;49;3;0,628571429
20;6;1;2020;3;19;1;52;4;0,3
32;18;1;2020;3;25;7;46;11;0,5625
7;7;1;2019;3;3;4;4;7;1
16;7;1;2020;3;14;2;15;8;0,4375
16;11;1;2019;4;7;9;14;14;0,6875
8;6;1;2020;4;3;5;11;13;0,75
13;12;1;2018;4;8;5;10;5;0,923076923
11;6;1;2018;5;3;8;3;8;0,545454545
8;7;1;2020;5;4;4;6;7;0,875
;;0;2020;6;2;6;2;6;
18;8;1;2019;6;7;11;7;11;0,444444444
7;6;1;2020;6;1;6;4;11;0,857142857
19;14;1;2019;7;8;11;8;11;0,736842105
37;21;1;2020;7;8;29;8;29;0,567567568
11;6;1;2020;7;7;4;14;11;0,545454545
21;12;1;2020;7;10;11;10;11;0,571428571
21;11;1;2019;7;19;2;19;2;0,523809524
91;36;1;2020;7;17;74;17;74;0,395604396
11;11;1;2020;7;8;3;17;5;1
66;49;1;2020;8;0;66;0;66;0,742424242
47;40;1;2020;8;1;46;1;46;0,85106383
40;33;1;2019;9;2;38;2;38;0,825
40;34;1;2020;9;0;40;2;71;0,85
32;14;1;2020;9;22;10;22;10;0,4375
35;32;1;2019;9;2;33;2;34;0,914285714
38;27;1;2020;9;2;36;3;67;0,710526316
43;14;1;2020;9;39;4;39;4;0,325581395
44;31;1;2020;10;5;39;5;39;0,704545455
45;36;1;2020;10;9;36;9;36;0,8
11;10;1;2019;10;7;4;12;6;0,909090909
8;8;1;2020;10;7;1;14;4;1
33;18;1;2019;11;10;23;22;51;0,545454545
46;30;1;2020;11;12;34;27;72;0,652173913
38;28;1;2019;11;11;27;63;100;0,736842105
31;21;1;2020;11;10;21;56;94;0,677419355
19;13;1;2018;11;4;15;12;38;0,684210526
51;37;1;2018;11;25;26;67;84;0,725490196
